sdoy,GPP,NEE,ER,NPP,Ra,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,Rh
46,0.0,0.078,0.078,0.0,0.0299,418.8877,379.9666,243.6413,155.4389,299.9828,320.2782,38340.0,23120.0,0.0481
47,0.0,0.1082,0.1082,0.0,0.0598,418.2339,379.9659,243.5069,156.1925,299.9821,320.2481,38340.0,23120.0,0.0483
48,0.0,0.0782,0.0782,0.0,0.0296,417.581,379.9651,243.3725,156.9446,299.9814,320.2183,38340.0,23120.0,0.0485
49,0.0,0.0628,0.0628,0.0,0.0141,416.9292,379.9644,243.2381,157.6953,299.9807,320.189,38340.0,23120.0,0.0487
50,0.0003,0.069,0.0693,0.0,0.0206,416.2784,379.9637,243.1037,158.4447,299.9799,320.1597,38340.0,23120.0,0.0487
51,0.0,0.1362,0.1362,0.0,0.0874,415.6285,379.963,242.9694,159.1927,299.9792,320.1304,38340.0,23120.0,0.0488
52,0.0,0.1021,0.1021,0.0,0.053,414.9797,379.9622,242.8353,159.939,299.9785,320.1011,38340.0,23120.0,0.049
53,0.0,0.063,0.063,0.0,0.0138,414.3319,379.9615,242.7013,160.684,299.9777,320.0725,38340.0,23120.0,0.0492
54,0.0,0.1199,0.1199,0.0,0.0706,413.6852,379.9608,242.5674,161.4277,299.977,320.0443,38340.0,23120.0,0.0492
55,0.0,0.1611,0.1611,0.0,0.112,413.0394,379.96,242.4338,162.1696,299.9763,320.0163,38340.0,23120.0,0.0491
56,0.0,0.0805,0.0805,0.0,0.0312,412.3946,379.9593,242.3005,162.91,299.9755,319.9884,38340.0,23120.0,0.0493
57,0.0,0.0753,0.0753,0.0,0.0259,411.7509,379.9586,242.1676,163.6487,299.9748,319.9608,38340.0,23120.0,0.0494
58,0.0054,0.0994,0.1048,0.0,0.0554,411.1082,379.9578,242.0348,164.3861,299.9741,319.9338,38340.0,23120.0,0.0494
59,0.0093,0.1356,0.1449,0.0,0.0956,410.4664,379.9571,241.9025,165.122,299.9733,319.907,38340.0,23120.0,0.0492
60,0.0,0.157,0.157,0.0,0.1078,409.8257,379.9564,241.7706,165.8561,299.9726,319.8804,38340.0,23120.0,0.0493
61,0.2361,-0.0439,0.1922,0.0,0.1429,409.1859,379.9556,241.6392,166.5886,299.9719,319.8539,38340.0,23120.0,0.0493
62,0.0,0.1806,0.1806,0.0,0.1314,408.5472,379.9549,241.5083,167.3192,299.9711,319.8275,38340.0,23120.0,0.0492
63,0.0,0.0738,0.0738,0.0,0.0242,407.9095,379.9542,241.3778,168.0481,299.9704,319.8017,38340.0,23120.0,0.0495
64,0.0,0.0933,0.0933,0.0,0.0437,407.2727,379.9534,241.2474,168.7757,299.9697,319.776,38340.0,23120.0,0.0496
65,0.3089,-0.0772,0.2318,0.0,0.1825,406.6372,379.9527,241.1175,169.5016,299.9689,319.7508,38340.0,23120.0,0.0493
66,0.207,0.1113,0.3182,0.0,0.2677,406.0035,379.952,240.9859,170.2263,299.9682,319.725,38340.0,23120.0,0.0506
67,0.6479,-0.2069,0.441,0.0,0.3877,405.3697,379.9512,240.8493,170.9536,299.9675,319.6978,38340.0,23120.0,0.0533
68,1.0158,-0.5456,0.4702,0.0,0.4164,404.7369,379.9505,240.7121,171.68,299.9667,319.6707,38340.0,23120.0,0.0538
69,1.0567,-0.5365,0.5201,0.0,0.4662,404.1052,379.9498,240.575,172.4049,299.966,319.6436,38340.0,23120.0,0.0539
70,0.7216,-0.2096,0.5121,0.0,0.4579,403.4743,379.949,240.438,173.1283,299.9653,319.6165,38340.0,23120.0,0.0541
71,1.3548,-0.7089,0.6459,0.0,0.5916,402.8445,379.9483,240.3013,173.8501,299.9645,319.5901,38340.0,23120.0,0.0543
72,0.5321,0.0975,0.6296,0.0,0.575,402.2157,379.9476,240.1649,174.5697,299.9638,319.564,38340.0,23120.0,0.0546
73,1.5659,-1.0018,0.5641,0.0,0.5089,401.5878,379.9468,240.0289,175.2865,299.9627,319.5388,38340.0,23120.0,0.0552
74,2.8485,-1.8595,0.989,0.6428,0.9323,401.2822,380.0104,240.1505,175.9984,299.9613,319.5159,38340.0,23120.0,0.0567
75,0.0,0.7249,0.7249,0.0,0.6499,400.6558,380.0096,240.0159,176.6693,299.9585,319.5153,38340.0,23120.0,0.0749
76,0.6433,-0.126,0.5174,0.0,0.4467,400.0304,380.0089,239.8806,177.3493,299.956,319.509,38340.0,23120.0,0.0707
77,1.0086,-0.4979,0.5106,0.0,0.4314,399.406,380.0082,239.7446,178.0112,299.9529,319.5123,38340.0,23120.0,0.0792
78,0.5012,0.1467,0.6479,0.0,0.5424,398.7825,380.0074,239.6025,178.6253,299.9479,319.543,38340.0,23120.0,0.1055
79,0.2712,0.3467,0.6179,0.0,0.5201,398.16,380.0067,239.4483,179.2734,299.9438,319.5566,38340.0,23120.0,0.0978
80,0.0005,0.3118,0.3122,0.0,0.2346,397.5385,380.006,239.2953,179.9617,299.9411,319.5466,38340.0,23120.0,0.0776
81,0.6904,-0.2108,0.4796,0.0,0.3975,396.9179,380.0052,239.147,180.6327,299.9381,319.5446,38340.0,23120.0,0.082
82,0.0544,0.5234,0.5779,0.0,0.489,396.2983,380.0045,239.0016,181.2835,299.9345,319.5529,38340.0,23120.0,0.0889
83,1.0502,-0.403,0.6472,0.0,0.58,395.6797,380.0038,238.8575,181.978,299.9327,319.5359,38340.0,23120.0,0.0672
84,0.0,0.5807,0.5807,0.0,0.511,395.0621,380.0031,238.7189,182.6577,299.9305,319.5256,38340.0,23120.0,0.0697
85,0.0288,0.3005,0.3292,0.0,0.2829,394.4514,380.0023,238.5907,183.3616,299.9299,319.4984,38340.0,23120.0,0.0464
86,0.7564,-0.4553,0.3011,0.0,0.2726,393.8629,380.0016,238.4684,184.0646,299.9305,319.4646,38340.0,23120.0,0.0285
87,1.1584,-0.6896,0.4688,0.0,0.4438,393.3102,380.0009,238.3544,184.7267,299.9312,319.4319,38340.0,23120.0,0.0251
88,0.2133,0.4254,0.6387,0.0,0.6152,392.7935,380.0001,238.2483,185.3452,299.932,319.4004,38340.0,23120.0,0.0236
89,0.6279,-0.0837,0.5443,0.0,0.522,392.3078,379.9994,238.1493,185.9257,299.9322,319.3707,38340.0,23120.0,0.0222
90,1.1954,-0.5769,0.6185,0.0,0.5982,391.8509,379.9987,238.0567,186.4713,299.9322,319.3439,38340.0,23120.0,0.0204
91,1.8799,-0.9333,0.9465,0.5212,0.9243,391.6647,380.05,238.1749,186.9916,299.9317,319.331,38340.0,23120.0,0.0223
92,1.2633,-0.6077,0.6556,0.0,0.6043,391.2206,380.0493,238.0851,187.4568,299.9292,319.3393,38340.0,23120.0,0.0513
93,0.4868,-0.054,0.4328,0.0,0.3788,390.7719,380.0486,237.9942,187.9279,299.9267,319.3431,38340.0,23120.0,0.054
94,0.8713,-0.3559,0.5154,0.0,0.4785,390.3298,380.0478,237.9047,188.4218,299.9254,319.3339,38340.0,23120.0,0.0369
95,0.8846,-0.3668,0.5178,0.0,0.4754,389.8892,380.0471,237.8155,188.9012,299.9236,319.3324,38340.0,23120.0,0.0424
96,0.4085,0.2613,0.6697,0.0,0.6041,389.4396,380.0464,237.7241,189.3494,299.9202,319.3499,38340.0,23120.0,0.0656
97,0.0,0.6753,0.6753,0.0,0.6302,388.9888,380.0456,237.6323,189.8432,299.9184,319.3425,38340.0,23120.0,0.0451
98,0.3691,0.3141,0.6831,0.0,0.6392,388.5504,380.0449,237.5434,190.3204,299.9166,319.3383,38340.0,23120.0,0.0439
99,0.5371,0.1449,0.682,0.0,0.6304,388.1126,380.0442,237.4544,190.7818,299.9143,319.3415,38340.0,23120.0,0.0516
100,1.2592,-0.6234,0.6358,0.0,0.5631,387.6624,380.0434,237.3625,191.215,299.9104,319.3685,38340.0,23120.0,0.0727
101,2.947,-1.8512,1.0958,0.8963,1.0189,387.6374,380.1323,237.6238,191.6717,299.9065,319.3954,38340.0,23120.0,0.0768
102,4.5175,-3.0886,1.4289,1.1925,1.3356,387.7115,380.2509,237.9921,192.1595,299.9022,319.4343,38340.0,23120.0,0.0933
103,1.7236,-0.8977,0.8259,0.0,0.7472,387.1329,380.2501,237.8701,192.7551,299.8992,319.4466,38340.0,23120.0,0.0787
104,3.8517,-2.5163,1.3355,1.1137,1.2489,387.1087,380.3607,238.193,193.3371,299.8957,319.4682,38340.0,23120.0,0.0866
105,4.703,-3.0132,1.6898,1.3391,1.544,387.174,380.4939,238.5928,193.8354,299.8879,319.5518,38340.0,23120.0,0.1458
106,4.3364,-2.7467,1.5897,1.1318,1.4721,387.1352,380.6064,238.8942,194.4184,299.8826,319.5911,38340.0,23120.0,0.1176
107,5.1812,-3.4665,1.7147,1.4971,1.5965,387.2791,380.7554,239.3356,195.0095,299.8773,319.6272,38340.0,23120.0,0.1182
108,3.4893,-2.0739,1.4154,0.689,1.3116,387.0188,380.8236,239.4501,195.637,299.8733,319.6435,38340.0,23120.0,0.1038
109,0.0,1.2195,1.2195,0.0,1.1261,386.4148,380.8228,239.2766,196.3049,299.8702,319.6392,38340.0,23120.0,0.0934
110,0.0,0.919,0.919,0.0,0.8396,385.8116,380.8221,239.1044,196.9999,299.8681,319.6188,38340.0,23120.0,0.0795
111,0.0,0.7825,0.7825,0.0,0.7052,385.2093,380.8214,238.9323,197.6986,299.8663,319.5959,38340.0,23120.0,0.0773
112,1.0734,-0.2111,0.8623,0.0,0.7779,384.608,380.8206,238.761,198.3799,299.8639,319.582,38340.0,23120.0,0.0844
113,2.061,-1.2275,0.8335,0.0,0.7433,384.0077,380.8199,238.5897,199.0478,299.8611,319.575,38340.0,23120.0,0.0902
114,0.0,1.073,1.073,0.0,0.988,383.4082,380.8192,238.4177,199.7271,299.8587,319.561,38340.0,23120.0,0.085
