ts,xs
2,-10.1234
3,-9.8916
4,-9.5935
5,-9.2741
6,-8.9534
7,-8.6452
8,-8.3546
9,-8.0855
10,-7.8233
11,-7.5563
12,-7.2987
13,-7.0517
14,-6.8117
15,-6.5878
16,-6.3887
17,-6.1885
18,-5.9939
19,-5.8171
20,-5.6437
21,-5.4851
22,-5.3364
23,-5.1956
24,-5.047
25,-4.891
26,-4.743
27,-4.5979
28,-4.4567
29,-4.3166
30,-4.1986
31,-4.0948
32,-3.9959
33,-3.9104
34,-3.8352
35,-3.7106
36,-3.5928
37,-3.4989
38,-3.4121
39,-3.3463
40,-3.2825
41,-3.2188
42,-3.1603
43,-3.0971
44,-2.9886
45,-2.8562
46,-2.8147
47,-2.7746
48,-2.7304
49,-2.6846
50,-2.6417
51,-2.5985
52,-2.5559
53,-2.5143
54,-2.4723
55,-2.432
56,-2.3977
57,-2.3683
58,-2.3372
59,-2.3045
60,-2.2714
61,-2.2432
62,-2.2148
63,-2.1847
64,-2.1563
65,-2.1283
66,-2.101
67,-2.0762
68,-2.0503
69,-2.0243
70,-2.0055
71,-1.9873
72,-1.977
73,-1.9604
74,-1.9569
75,-1.9026
76,-1.8772
77,-1.8545
78,-1.834
79,-1.7958
80,-1.7696
81,-1.7315
82,-1.707
83,-1.687
84,-1.6686
85,-1.6475
86,-1.6333
87,-1.6186
88,-1.5997
89,-1.5762
90,-1.5456
91,-1.515
92,-1.4936
93,-1.4403
94,-1.4082
95,-1.3481
96,-1.3086
97,-1.2598
98,-1.1598
99,-0.0938
100,1.9989
101,3.1901
102,3.2741
103,1.7065
104,-0.0851
105,-0.6037
106,-0.7461
107,-0.6804
108,-0.8396
109,-1.018
110,-0.909
111,-0.869
112,-0.2514
113,-0.2562
114,4.2461
115,7.2057
116,6.1079
117,2.0887
118,5.1563
119,6.3695
120,6.4639
121,1.3603
122,2.3917
123,4.9375
124,6.3013
125,6.6309
126,7.6901
127,9.7927
128,10.0715
129,9.62
130,11.1109
131,13.1187
132,9.1864
133,6.8177
134,7.9836
135,8.701
136,9.2178
137,9.8561
138,10.4451
139,13.8554
140,14.5637
141,13.2408
142,13.8239
143,12.6445
144,9.4643
145,10.0936
146,9.74
147,8.492
148,10.7792
149,12.2392
150,12.3503
151,14.1999
152,10.9797
153,11.3453
154,16.5538
155,14.4718
156,14.2737
157,19.4023
158,18.4396
159,13.1079
160,12.4693
161,12.1533
162,12.7461
163,13.0811
164,13.6646
165,16.8585
166,13.2776
167,14.209
168,15.1481
169,14.9381
170,14.4747
171,13.9291
172,13.6426
173,13.3455
174,12.3085
175,14.545
176,16.3705
177,16.0099
178,14.5208
179,16.2075
180,17.695
181,21.2364
182,22.6341
183,19.4821
184,18.5204
185,21.0758
186,19.8234
187,18.2373
188,20.2877
189,19.4337
190,20.1346
191,20.877
192,19.1392
193,15.7869
194,15.0603
195,15.4285
196,19.6289
197,22.2221
198,22.7302
199,24.0452
200,19.0472
201,25.2902
202,22.1775
203,21.4738
204,16.5682
205,18.2993
206,19.9549
207,18.1646
208,19.1688
209,19.8873
210,19.4261
211,19.8341
212,19.2131
213,19.7955
214,22.5813
215,19.9635
216,21.4743
217,20.8299
218,18.8169
219,18.152
220,18.4368
221,16.1312
222,15.686
223,18.2513
224,18.4266
225,18.5252
226,18.5967
227,19.2655
228,19.6752
229,17.854
230,18.8087
231,18.0048
232,14.741
233,14.7147
234,17.9624
235,20.0777
236,19.1078
237,17.3794
238,18.725
239,15.4402
240,14.7189
241,17.1447
242,17.9872
243,17.4895
244,15.7881
245,17.4563
246,14.3559
247,13.1862
248,10.6638
249,12.6898
250,14.5781
251,16.4654
252,17.0584
253,16.7568
254,17.1748
255,16.0365
256,11.1182
257,6.2892
258,3.8722
259,6.007
260,7.581
261,10.9086
262,10.4719
263,10.5105
264,12.0479
265,7.9637
266,7.0927
267,6.3055
268,6.8505
269,8.9883
270,10.7685
271,11.9715
272,12.1892
273,7.4234
274,6.3736
275,9.6319
276,11.1036
277,11.8996
278,14.9495
279,14.4922
280,18.356
281,15.3504
282,11.935
283,13.3275
284,13.2395
285,11.2947
286,10.4876
287,8.1754
288,6.8287
289,6.6586
290,6.6713
291,4.3872
292,3.8566
293,2.5864
294,3.6573
295,4.7543
296,4.8486
297,2.902
298,4.0394
299,4.5961
300,2.4058
301,2.587
302,1.7489
303,4.1653
304,3.6734
305,4.7287
306,1.902
307,0.4793
308,2.4895
309,6.4998
310,6.454
311,2.248
312,-0.6301
313,-0.3173
314,-0.0819
315,0.5288
316,2.1097
317,1.2488
318,0.4765
319,0.1853
320,-2.8028
321,-4.3557
322,-2.3793
323,-4.3955
324,-8.5455
325,-5.3362
326,-0.9997
327,-0.2645
328,-0.3292
329,-0.4848
330,0.4416
331,-1.6941
332,-1.0789
333,-1.6039
334,-2.6442
335,-2.505
336,-3.7182
337,-2.0759
338,-2.6763
339,-4.0044
340,-5.8104
341,-2.9634
342,-3.5806
343,-5.4373
344,-4.704
345,-3.2643
346,-2.3639
347,-1.7652
348,-1.1021
349,-1.2995
350,-2.7996
351,-3.5205
352,-2.876
353,-2.0143
354,-2.2887
355,-1.8746
356,-2.214
357,-2.3908
358,-2.2729
359,-1.663
360,-1.5045
361,-1.5493
362,-2.7052
363,-2.4169
364,-2.6658
365,-2.6393
366,-2.0955
367,-2.8278
368,-3.7402
369,-3.2055
370,-2.633
371,-1.605
372,-1.5249
373,-1.7557
374,-1.4693
375,-1.4928
376,-1.4708
377,-2.3363
378,-2.9686
379,-3.3863
380,-3.0289
381,-2.6648
382,-2.9614
383,-3.5493
384,-4.075
385,-4.5312
386,-4.6862
387,-3.9887
388,-3.3773
389,-3.0574
390,-2.8087
391,-2.2997
392,-2.2988
393,-2.365
394,-2.6436
395,-2.8089
396,-2.4454
397,-2.0694
398,-1.7035
399,-1.509
400,-1.4882
401,-1.4512
402,-1.4589
403,-1.5353
404,-1.6788
405,-1.7123
406,-1.7982
407,-1.947
408,-2.0467
409,-2.1319
410,-2.0657
411,-1.9917
412,-1.8682
413,-1.7926
414,-1.7986
415,-1.8265
416,-1.7535
417,-1.6635
418,-1.6147
419,-1.594
420,-1.5885
421,-1.6194
422,-1.6186
423,-1.6179
424,-1.6199
425,-1.5676
426,-1.5183
427,-1.4703
428,-1.4451
429,-1.4516
430,-1.4692
431,-1.4497
432,-1.417
433,-1.406
434,-1.4108
435,-1.3941
436,-1.3612
437,-1.3136
438,-1.275
439,-1.2203
440,-1.0256
441,-0.4972
442,5.7293
443,9.9377
444,12.3021
445,7.4584
446,5.8126
447,6.3784
448,8.7521
449,7.7436
450,2.4838
451,1.1936
452,5.4728
453,2.7222
